SMILES,CAS,logP
CCC1(NC(=O)N(C)C1=O)c1ccccc1,50-12-4,1.69
[H]N1C(=O)N(C(=O)C1(C1=C([H])C([H])=C([H])C([H])=C1[H])C([H])([H])C([H])([H])[H])C([H])([H])[H],50-12-4,1.69
CCC1(NC(=O)N(C)C1=O)C1=CC=CC=C1,50-12-4,1.69
[H]OC1=NC(C(=O)N1C([H])([H])[H])(C1=C([H])C([H])=C([H])C([H])=C1[H])C([H])([H])C([H])([H])[H],50-12-4,1.69
CCC1(N=C(O)N(C)C1=O)C1=CC=CC=C1,50-12-4,1.69
CCN(CC)C(O)=C1CN(C)[C@@H]2CC3=CNC4=CC=CC(=C34)C2=C1,50-37-3,2.95
[H]N1C([H])=C2C3=C(C([H])=C([H])C([H])=C13)C1([H])C([H])=C(C(=O)N(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H])C([H])([H])N(C([H])([H])[H])C1([H])C2([H])[H],50-37-3,2.95
CCN(CC)C(=O)C1=CC2[C@@H](CC3=CNC4=CC=CC2=C34)N(C)C1,50-37-3,2.95
CCN(CC)C(=O)C1=CC2C(CC3=CNC4=CC=CC2=C34)N(C)C1,50-37-3,2.95
[H]OC(N(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H])=C1C([H])=C2C3=C4C(N([H])C([H])=C4C([H])([H])C2([H])N(C([H])([H])[H])C1([H])[H])=C([H])C([H])=C3[H],50-37-3,2.95
CCN(CC)C(O)=C1CN(C)C2CC3=CNC4=CC=CC(=C34)C2=C1,50-37-3,2.95
[H]N1C([H])=C2C3=C(C([H])=C([H])C([H])=C13)C1=C([H])C([H])(C(=O)N(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H])C([H])([H])N(C([H])([H])[H])C1([H])C2([H])[H],50-37-3,2.95
CCN(CC)C(=O)[C@H]1CN(C)[C@@H]2CC3=CNC4=CC=CC(=C34)C2=C1,50-37-3,2.95
CCN(CC)C(=O)C1CN(C)C2CC3=CNC4=CC=CC(=C34)C2=C1,50-37-3,2.95
CN1C[C@@H](C=C2[C@H]1Cc1c[nH]c3cccc2c13)C(=O)N(CC)CC,50-37-3,2.95
CN1C[C@@H](C=C2[C@H]1Cc1c[nH]c3cccc2c31)C(=O)N(CC)CC,50-37-3,2.95
CN1CC(C=C2C1Cc1c[nH]c3cccc2c31)C(=O)N(CC)CC,50-37-3,2.95
O[C@H](CO)[C@@H](O)[C@H](O)[C@@H](O)CO,50-70-4|69-65-8|608-66-2,-2.8
[H]OC([H])([H])C([H])(O[H])C([H])(O[H])C([H])(O[H])C([H])(O[H])C([H])([H])O[H],50-70-4|69-65-8|608-66-2,-2.8
OC(CO)C(O)C(O)C(O)CO,50-70-4|69-65-8|608-66-2,-2.8
OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,50-70-4|69-65-8|608-66-2,-2.8
OCC(O)C(O)C(O)C(O)CO,50-70-4|69-65-8|608-66-2,-2.8
OC[C@H](O)[C@H]1OC(=O)C(=O)C1O,50-81-7,-1.85
[H]OC1=C(OC(=O)C1([H])O[H])C([H])(O[H])C([H])([H])O[H],50-81-7,-1.85
OC[C@H](O)C1=C(O)C(O)C(=O)O1,50-81-7,-1.85
OCC(O)C1=C(O)C(O)C(=O)O1,50-81-7,-1.85
[H]OC1=C(O[H])C([H])(OC1=O)C([H])(O[H])C([H])([H])O[H],50-81-7,-1.85
O[C@@H](CO)[C@H]1OC(=O)C(=C1O)O,50-81-7,-1.85
O[C@@H](CO)[C@H]1OC(=O)C(O)=C1O,50-81-7,-1.85
OC(CO)C1OC(=O)C(O)=C1O,50-81-7,-1.85
OC[C@H](O)[C@H]1OC(=O)C(O)=C1O,50-81-7,-1.85
OCC(O)C1OC(=O)C(O)=C1O,50-81-7,-1.85
[H]OC([H])([H])C([H])(O[H])C1([H])OC(=O)C([H])(O[H])C1=O,50-81-7,-1.85
OC[C@H](O)[C@H]1OC(=O)C(O)C1=O,50-81-7,-1.85
OCC(O)C1OC(=O)C(O)C1=O,50-81-7,-1.85
[H]OC([H])([H])C([H])(O[H])C1([H])OC(=O)C(=O)C1([H])O[H],50-81-7,-1.85
OCC(O)C1OC(=O)C(=O)C1O,50-81-7,-1.85
Cc1ccc(C(O)=O)c(O)c1,50-85-1,2.99
CC1=CC=C(C(O)=O)C(O)=C1,50-85-1,2.99
[H]OC(=O)C1=C([H])C([H])=C(C([H])=C1O[H])C([H])([H])[H],50-85-1,2.99
Cc1cc(O)c(cc1)C(=O)O,50-85-1,2.99
Cc1cc(O)c(cc1)C(O)=O,50-85-1,2.99
CC(=O)Nc1ccc(c(O)c1)C(=O)O,50-86-2,1.62
[H]OC(=C([H])[H])N([H])C1=C([H])C([H])=C(C(=O)O[H])C(O[H])=C1[H],50-86-2,1.62
OC(=C)NC1=CC=C(C(O)=O)C(O)=C1,50-86-2,1.62
[H]OC(=O)C1=C([H])C([H])=C(N([H])C(=O)C([H])([H])[H])C([H])=C1O[H],50-86-2,1.62
CC(=O)NC1=CC=C(C(O)=O)C(O)=C1,50-86-2,1.62
CC(=O)Nc1ccc(c(O)c1)C(O)=O,50-86-2,1.62
[H]OC(=O)C1=C([H])C([H])=C(N=C(O[H])C([H])([H])[H])C([H])=C1O[H],50-86-2,1.62
CC(O)=NC1=CC=C(C(O)=O)C(O)=C1,50-86-2,1.62
CN1[C@H]2C[C@@H](C[C@@H]1[C@H]1O[C@@H]21)OC(=O)[C@H](CO)c1ccccc1,51-34-3,0.98
[H]OC([H])([H])C([H])(C(=O)OC1([H])C([H])([H])C2([H])N(C([H])([H])[H])C([H])(C1([H])[H])C1([H])OC21[H])C1=C([H])C([H])=C([H])C([H])=C1[H],51-34-3,0.98
CN1[C@@H]2C[C@H](C[C@H]1[C@@H]1O[C@@H]12)OC(=O)[C@H](CO)c1ccccc1,51-34-3,0.98
CN1[C@@H]2C[C@H](C[C@H]1[C@@H]1O[C@H]21)OC(=O)[C@H](CO)c1ccccc1,51-34-3,0.98
CN1C2CC(CC1C1OC12)OC(=O)C(CO)c1ccccc1,51-34-3,0.98
CN1C2CC(CC1C1OC21)OC(=O)C(CO)c1ccccc1,51-34-3,0.98
CN1[C@H]2C[C@@H](C[C@@H]1[C@H]1O[C@@H]21)OC(=O)[C@H](CO)C1=CC=CC=C1,51-34-3,0.98
NCCC1=CNC=N1,51-45-6,-0.7
[H]N([H])C([H])([H])C([H])([H])C1=C([H])N([H])C([H])=N1,51-45-6,-0.7
[H]N([H])C([H])([H])C([H])([H])C1=C([H])N=C([H])N1[H],51-45-6,-0.7
NCCC1=CN=CN1,51-45-6,-0.7
NCCc1c[n]c[nH]1,51-45-6,-0.7
NCCc1cnc[nH]1,51-45-6,-0.7
S=P(N1CC1)(N1CC1)N1CC1,52-24-4,0.53
[H]C1([H])N(C1([H])[H])P(=S)(N1C([H])([H])C1([H])[H])N1C([H])([H])C1([H])[H],52-24-4,0.53
c1ccc2c(c1)ccc1cc3c(ccc4ccccc34)cc21,53-70-3,6.75
C1=CC2=C(C=C1)C1=CC3=C(C=C1C=C2)C1=C(C=CC=C1)C=C3,53-70-3,6.75
[H]C1=C([H])C2=C([H])C([H])=C3C([H])=C4C(C([H])=C([H])C5=C([H])C([H])=C([H])C([H])=C45)=C([H])C3=C2C([H])=C1[H],53-70-3,6.75
c1c2c3ccccc3ccc2cc2c3ccccc3ccc12,53-70-3,6.75
c1c2c3ccccc3ccc2cc2c3ccccc3ccc21,53-70-3,6.75
COC1=CC=C2N(C(=O)C3=CC=C(Cl)C=C3)C(C)=C(CC(O)=O)C2=C1,53-86-1,4.27
[H]OC(O[H])=C([H])C1=C(N(C(=O)C2=C([H])C([H])=C(Cl)C([H])=C2[H])C2=C([H])C([H])=C(OC([H])([H])[H])C([H])=C12)C([H])([H])[H],53-86-1,4.27
COC1=CC=C2N(C(=O)C3=CC=C(Cl)C=C3)C(C)=C(C=C(O)O)C2=C1,53-86-1,4.27
[H]OC(=O)C([H])([H])C1=C(N(C(=O)C2=C([H])C([H])=C(Cl)C([H])=C2[H])C2=C([H])C([H])=C(OC([H])([H])[H])C([H])=C12)C([H])([H])[H],53-86-1,4.27
Cc1c(CC(=O)O)c2cc(ccc2n1C(=O)c1ccc(Cl)cc1)OC,53-86-1,4.27
Cc1c(CC(O)=O)c2cc(ccc2[n]1C(=O)c1ccc(Cl)cc1)OC,53-86-1,4.27
NC(=CC1=CNC2=CC=CC=C12)C(O)O,54-12-6|73-22-3,-1.055
[H]OC(O[H])=C(N([H])[H])C([H])([H])C1=C([H])N([H])C2=C([H])C([H])=C([H])C([H])=C12,54-12-6|73-22-3,-1.055
NC(CC1=CNC2=CC=CC=C12)=C(O)O,54-12-6|73-22-3,-1.055
[H]OC([H])(O[H])C(N([H])[H])=C([H])C1=C([H])N([H])C2=C([H])C([H])=C([H])C([H])=C12,54-12-6|73-22-3,-1.055
[H]OC([H])(O[H])C(=N[H])C([H])([H])C1=C([H])N([H])C2=C([H])C([H])=C([H])C([H])=C12,54-12-6|73-22-3,-1.055
OC(O)C(=N)CC1=CNC2=CC=CC=C12,54-12-6|73-22-3,-1.055
[H]OC(=O)C([H])(N([H])[H])C([H])([H])C1=C([H])N([H])C2=C([H])C([H])=C([H])C([H])=C12,54-12-6|73-22-3,-1.055
NC(CC1=CNC2=CC=CC=C12)C(O)=O,54-12-6|73-22-3,-1.055
NC(Cc1c[nH]c2ccccc12)C(=O)O,54-12-6|73-22-3,-1.055
NC(Cc1c[nH]c2ccccc21)C(O)=O,54-12-6|73-22-3,-1.055
CCOC(=O)C1(CCN(C)CC1)c1ccccc1,57-42-1,2.72
CCOC(=O)C1(CCN(C)CC1)C1=CC=CC=C1,57-42-1,2.72
[H]C1=C([H])C([H])=C(C([H])=C1[H])C1(C(=O)OC([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C1([H])[H],57-42-1,2.72
CCCN(CCC)S(=O)(=O)c1ccc(cc1)C(O)=O,57-66-9,3.21
[H]OC(=O)C1=C([H])C([H])=C(C([H])=C1[H])S(=O)(=O)N(C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])[H],57-66-9,3.21
CCCN(CCC)S(=O)(=O)c1ccc(cc1)C(=O)O,57-66-9,3.21
CCCN(CCC)S(=O)(=O)C1=CC=C(C=C1)C(O)=O,57-66-9,3.21
Cn1c(=O)c2c(ncn2C)n(C)c1=O,58-08-2,-0.07
[H]C1=NC2=C(N1C([H])([H])[H])C(=O)N(C(=O)N2C([H])([H])[H])C([H])([H])[H],58-08-2,-0.07
CN1C(=O)c2c([n]c[n]2C)N(C)C1=O,58-08-2,-0.07
CN1c2ncn(C)c2C(=O)N(C)C1=O,58-08-2,-0.07
Cn1cnc2n(C)c(=O)n(C)c(=O)c12,58-08-2,-0.07
CN1C=NC2=C1C(=O)N(C)C(=O)N2C,58-08-2,-0.07
C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2O,58-22-0,3.32
